31, 33
21, 43
23, 41
18, 46
0, 36
26, 38
14, 50
16, 48
21, 43
20, 44
25, 39
18, 46
42, 22
12, 52
20, 44
25, 39
25, 39
40, 24
23, 41
12, 52
33, 31
18, 46
27, 37
18, 46
13, 51
27, 37
20, 44
33, 31
35, 29
25, 39
28, 36
25, 39
23, 41
26, 38
16, 48
17, 47
22, 41
45, 19
31, 33
25, 39
20, 44
24, 40
16, 48
38, 26
22, 42
4, 58
14, 50
32, 32
19, 45
41, 23
10, 54
27, 37
21, 43
23, 41
17, 46
13, 51
23, 41
17, 47
21, 43
15, 49
29, 35
0, 59
33, 31
14, 50
20, 44
16, 48
12, 51
15, 49
27, 37
22, 42
25, 39
24, 40
23, 41
23, 41
34, 30
15, 49
32, 32
10, 54
14, 50
19, 45
14, 50
26, 38
24, 40
32, 32
23, 41
18, 46
18, 46
32, 32
20, 44
39, 25
20, 44
22, 42
24, 40
18, 46
16, 48
23, 41
23, 41
30, 34
11, 53
22, 42
