47, 17
14, 50
28, 36
42, 22
52, 12
32, 32
18, 46
47, 17
20, 44
6, 58
23, 41
31, 33
39, 25
18, 46
36, 28
45, 19
37, 27
33, 31
27, 37
35, 29
24, 40
47, 17
31, 33
47, 17
50, 14
29, 35
31, 33
21, 43
42, 22
10, 54
54, 10
43, 21
51, 13
15, 49
23, 41
45, 19
26, 38
28, 36
54, 10
49, 15
24, 40
42, 22
47, 17
46, 18
30, 34
15, 49
36, 28
20, 44
45, 19
46, 18
28, 36
27, 37
23, 40
17, 47
13, 51
7, 57
48, 16
30, 34
17, 44
26, 38
35, 29
40, 24
40, 0
47, 17
12, 52
22, 42
49, 15
29, 35
39, 25
25, 39
52, 12
59, 5
15, 49
15, 6
32, 32
18, 46
14, 50
14, 50
30, 34
33, 31
33, 31
39, 25
29, 35
34, 30
26, 38
35, 29
28, 36
32, 32
21, 43
17, 47
40, 24
22, 42
21, 43
27, 37
35, 29
40, 24
14, 50
18, 46
33, 31
29, 35
